ladder	auto	correct	102
ladder	auto	missed	170
ladder	truth	correct	193
ladder	truth	missed	79
ladder	wrong	refused	344
ladder>=12	truth	correct	173
ladder>=12	truth	missed	31
negative	auto	refused	8
negative	wrong	refused	8
